n_ind,loc,spd,dt,eng,remark
1,0.25583,1.00,0,7324.35,alive
1,1.00000,1.00,0.98,7324.35,alive
1,1.08569,0.50,0.09,5244.06,elastic-scatter
1,1.04839,0.25,0.25,3754.62,elastic-scatter
1,1.04735,0.13,0.01,2688.22,elastic-scatter
1,1.04520,0.06,0.02,1924.70,elastic-scatter
1,1.04253,0.03,0.23,1378.04,elastic-scatter
1,1.03911,0.02,0.15,986.65,elastic-scatter
1,1.03928,0.01,0.01,706.41,elastic-scatter
1,1.03719,0.00,0.28,505.78,elastic-scatter
1,1.03676,0.00,0.22,362.12,elastic-scatter
1,1.03638,0.00,0.22,259.27,elastic-scatter
1,1.03639,0.00,0.01,185.63,elastic-scatter
1,1.03640,0.00,0.05,132.91,elastic-scatter
1,1.03640,0.00,0.01,95.16,elastic-scatter
1,1.03641,0.00,0.04,68.13,elastic-scatter
1,1.03641,0.00,0.03,48.78,elastic-scatter
1,1.03642,0.00,0.32,34.93,elastic-scatter
1,1.03641,0.00,0.23,25.01,elastic-scatter
1,1.03641,0.00,0.36,17.90,elastic-scatter
1,1.03641,0.00,0.10,12.82,elastic-scatter
1,1.03641,0.00,0.05,9.18,elastic-scatter
1,1.03641,0.00,0.05,6.57,elastic-scatter
1,1.03641,0.00,0.31,4.70,elastic-scatter
1,1.03641,0.00,0.26,3.37,elastic-scatter
1,1.03641,0.00,0.13,2.41,elastic-scatter
1,1.03641,0.00,0.01,1.73,elastic-scatter
1,1.03641,0.00,0.01,1.24,elastic-scatter
1,1.03641,0.00,0.43,0.89,captured
2,0.55994,1.00,0,0.22,alive
2,1.00000,1.00,0.91,0.22,alive
2,1.31900,0.50,0.36,0.15,captured
3,0.82709,1.00,0,462115.60,alive
3,1.00000,1.00,0.17,462115.60,alive
3,1.19519,0.50,0.20,330863.84,elastic-scatter
3,1.23891,0.25,0.11,236890.67,elastic-scatter
3,1.20565,0.13,0.14,169608.12,elastic-scatter
3,1.17497,0.06,0.32,121435.40,elastic-scatter
3,1.15552,0.03,0.51,86944.87,elastic-scatter
3,1.15238,0.02,0.14,62250.47,elastic-scatter
3,1.15240,0.01,0.00,44569.86,elastic-scatter
3,1.14998,0.00,0.35,31910.97,elastic-scatter
3,1.14983,0.00,0.15,22847.50,elastic-scatter
3,1.14982,0.00,0.01,16358.27,elastic-scatter
3,1.14994,0.00,0.12,11712.13,elastic-scatter
3,1.14995,0.00,0.01,8385.61,elastic-scatter
3,1.14995,0.00,0.05,6003.90,elastic-scatter
3,1.14995,0.00,0.30,4298.65,elastic-scatter
3,1.14995,0.00,0.08,3077.73,captured
4,0.15812,1.00,0,2000068.00,alive
4,1.00000,1.00,0.86,2000068.00,alive
4,1.06716,0.50,0.07,1432001.35,elastic-scatter
4,1.02678,0.25,0.18,1025279.07,elastic-scatter
4,1.02964,0.12,0.01,734075.55,elastic-scatter
4,0.95133,0.06,0.69,525580.72,back-scatter
5,0.81534,1.00,0,0.21,alive
5,1.00000,1.00,0.19,0.21,alive
5,1.01418,0.50,0.01,0.15,captured
6,0.87475,1.00,0,0.86,alive
6,1.00000,1.00,0.77,0.86,alive
6,1.04243,0.50,0.08,0.61,captured
7,0.33863,1.00,0,6687.42,alive
7,1.00000,1.00,0.66,6687.42,alive
7,1.54158,0.50,0.54,4788.03,escaped
8,0.62876,1.00,0,0.83,alive
8,1.00000,1.00,1.61,0.83,alive
8,1.20486,0.50,0.21,0.60,captured
9,0.15642,1.00,0,0.99,alive
9,1.00000,1.00,0.97,0.99,alive
9,1.00946,0.50,0.01,0.71,captured
10,0.44709,1.00,0,3449.01,alive
10,1.00000,1.00,1.23,3449.01,alive
10,1.02203,0.50,0.02,2469.41,elastic-scatter
10,1.03090,0.25,0.03,1768.04,elastic-scatter
10,0.95492,0.12,0.38,1265.88,back-scatter
11,0.97638,1.00,0,364567.55,alive
11,1.00000,1.00,1.97,364567.55,alive
11,1.01546,0.50,0.02,261021.74,elastic-scatter
11,1.01801,0.25,0.01,186885.39,elastic-scatter
11,1.02066,0.13,0.01,133805.51,elastic-scatter
11,1.00534,0.06,0.20,95801.58,elastic-scatter
